Number,Id,Types,Name,Type1,Type2,PV,Vitesse,Attaque,Defense,Att_Spe,Def_Spe,Capture,Competence1,CType1,Category1,Power1,Accuracy1,Competence2,CType2,Category2,Power2,Accuracy2,Competence3,CType3,Category3,Power3,Accuracy3,Competence4,CType4,Category4,Power4,Accuracy4,Image,Acier,Combat,Dragon,Eau,Electrik,Fee,Feu,Glace,Insecte,Normal,Plante,Poison,Psy,Roche,Sol,Spectre,Tenebres,Vol
033,#033,Poison Poison,Nidorino,Poison,Poison,30,16,7,5,5,5,2,Groz'Yeux,Normal,Statut,0,6,Picpic,Vol,Physique,3,6,Empty,Poison,,,,Empty,Poison,,,,Nidorino-RFVF.png,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0
034,#034,Poison Sol,Nidoking,Poison,Sol,40,21,9,7,8,7,0,Megacorne,Insecte,Physique,12,0,Picpic,Vol,Physique,3,6,Empty,Poison,,,,Empty,Sol,,,,Nidoking-RFVF.png,1.0,0.5,1.0,2.0,0.0,0.5,1.0,2.0,0.5,1.0,1.0,0.25,2.0,0.5,2.0,1.0,1.0,1.0
035,#035,Fee Fee,Mélofée,Fee,Fee,35,8,4,4,6,6,3,Projecteur,Normal,Statut,0,0,Voix Enjoleuse,Fee,Special,4,0,Empty,Fee,,,,Empty,Fee,,,,Mélofée-RFVF.png,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
036,#036,Fee Fee,Mélodelfe,Fee,Fee,47,15,7,7,8,9,0,Projecteur,Normal,Statut,0,0,Voix Enjoleuse,Fee,Special,4,0,Empty,Fee,,,,Empty,Fee,,,,Mélodelfe-RFVF.png,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0
037,#037,Feu Feu,Goupix,Feu,Feu,19,16,4,4,5,6,3,Flammeche,Feu,Special,4,6,Mimi-Queue,Normal,Statut,0,6,Empty,Feu,,,,Empty,Feu,,,,Goupix-RFVF.png,0.5,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0
038,#038,Feu Feu,Feunard,Feu,Feu,36,25,7,7,8,10,1,Possessif,Psy,Statut,0,0,Machination,Tenebres,Statut,0,6,Empty,Feu,,,,Empty,Feu,,,,Feunard-RFVF.png,0.5,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0
039,#039,Fee Normal,Rondoudou,Fee,Normal,57,5,4,2,4,2,3,Berceuse,Normal,Statut,0,0,Boul'Armure,Normal,Statut,0,0,Empty,Fee,,,,Empty,Normal,,,,Rondoudou-RFVF.png,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0
040,#040,Fee Normal,Grodoudou,Fee,Normal,70,11,7,4,7,5,1,Damocles,Normal,Physique,12,6,Calinerie,Fee,Physique,9,0,Empty,Fee,,,,Empty,Normal,,,,Grodoudou-RFVF.png,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0
041,#041,Poison Vol,Nosferapti,Poison,Vol,20,13,4,3,3,4,5,Vol-Vie,Plante,Special,2,6,Ultrason,Normal,Statut,0,0,Empty,Poison,,,,Empty,Vol,,,,Nosferapti-RFVF.png,1.0,0.25,1.0,1.0,2.0,0.5,1.0,2.0,0.25,1.0,0.25,0.5,2.0,2.0,0.0,1.0,1.0,1.0
042,#042,Poison Vol,Nosferalto,Poison,Vol,37,22,8,7,6,7,1,Grincement,Normal,Statut,0,0,Vol-Vie,Plante,Special,2,6,Empty,Poison,,,,Empty,Vol,,,,Nosferalto-RFVF.png,1.0,0.25,1.0,1.0,2.0,0.5,1.0,2.0,0.25,1.0,0.25,0.5,2.0,2.0,0.0,1.0,1.0,1.0
043,#043,Plante Poison,Mystherbe,Plante,Poison,22,7,5,5,7,6,5,Vol-Vie,Plante,Special,2,6,Croissance,Normal,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Mystherbe-RFVF.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
044,#044,Plante Poison,Ortide,Plante,Poison,30,10,6,7,8,7,2,Vol-Vie,Plante,Special,2,6,Croissance,Normal,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Ortide-RFVF.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
045,#045,Plante Poison,Rafflesia,Plante,Poison,37,12,8,8,10,9,0,Mega-Sangsue,Plante,Special,4,6,Aromatherapie,Plante,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Rafflesia-RFVF.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
046,#046,Insecte Plante,Paras,Insecte,Plante,17,6,7,5,4,5,3,Griffe,Normal,Physique,4,6,Para-Spore,Plante,Statut,0,0,Empty,Insecte,,,,Empty,Plante,,,,Paras-RFVF.png,1.0,0.5,1.0,0.5,0.5,1.0,4.0,2.0,2.0,1.0,0.25,2.0,1.0,2.0,0.25,1.0,1.0,4.0
047,#047,Insecte Plante,Parasect,Insecte,Plante,30,7,9,8,6,8,1,Poison-Croix,Poison,Physique,7,6,Griffe,Normal,Physique,4,6,Empty,Insecte,,,,Empty,Plante,,,,Parasect-RFVF.png,1.0,0.5,1.0,0.5,0.5,1.0,4.0,2.0,2.0,1.0,0.25,2.0,1.0,2.0,0.25,1.0,1.0,4.0
048,#048,Insecte Poison,Mimitoss,Insecte,Poison,30,11,5,5,4,5,3,Charge,Normal,Physique,4,6,Entrave,Normal,Statut,0,6,Empty,Insecte,,,,Empty,Poison,,,,Mimitoss-RFVF.png,1.0,0.25,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,2.0,2.0,1.0,1.0,1.0,2.0
049,#049,Insecte Poison,Aéromite,Insecte,Poison,35,22,6,6,9,7,1,Tornade,Vol,Special,4,6,Papillodanse,Insecte,Statut,0,0,Empty,Insecte,,,,Empty,Poison,,,,Aéromite-RFVF.png,1.0,0.25,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.25,0.5,2.0,2.0,1.0,1.0,1.0,2.0
050,#050,Sol Sol,Taupiqueur,Sol,Sol,5,23,5,2,3,4,5,Jet de Sable,Sol,Statut,0,6,Griffe,Normal,Physique,4,6,Empty,Sol,,,,Empty,Sol,,,,Taupiqueur-RFVF.png,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
051,#051,Sol Sol,Triopikeur,Sol,Sol,17,30,10,5,5,7,1,Tourbi-Sable,Sol,Physique,3,0,Fertilisation,Sol,Statut,0,0,Empty,Sol,,,,Empty,Sol,,,,Triopikeur-RFVF.png,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0
052,#052,Normal Normal,Miaouss,Normal,Normal,20,22,4,3,4,4,5,Griffe,Normal,Physique,4,6,Rugissement,Normal,Statut,0,6,Empty,Normal,,,,Empty,Normal,,,,Miaouss-RFVF.png,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
053,#053,Normal Normal,Persian,Normal,Normal,32,28,7,6,6,6,1,Meteores,Normal,Special,6,0,Calinerie,Fee,Physique,9,0,Empty,Normal,,,,Empty,Normal,,,,Persian-RFVF.png,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
054,#054,Eau Eau,Psykokwak,Eau,Eau,25,13,5,4,6,5,3,Tourniquet,Eau,Statut,0,0,Griffe,Normal,Physique,4,6,Empty,Eau,,,,Empty,Eau,,,,Psykokwak-RFVF.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
055,#055,Eau Eau,Akwakwak,Eau,Eau,40,21,8,7,9,8,1,Moi d'Abord,Normal,Statut,0,0,Aqua-Jet,Eau,Physique,4,6,Empty,Eau,,,,Empty,Eau,,,,Akwakwak-RFVF.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
056,#056,Combat Combat,Férosinge,Combat,Combat,20,17,8,3,3,4,3,Implore,Normal,Physique,6,6,Griffe,Normal,Physique,4,6,Empty,Combat,,,,Empty,Combat,,,,Férosinge-RFVF.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
057,#057,Combat Combat,Colossinge,Combat,Combat,32,23,10,6,6,7,1,Frenesie,Normal,Physique,2,6,Tout ou Rien,Combat,Special,0,6,Empty,Combat,,,,Empty,Combat,,,,Colossinge-RFVF.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
058,#058,Feu Feu,Caninos,Feu,Feu,27,15,7,4,7,5,3,Morsure,Tenebres,Physique,6,6,Hurlement,Normal,Statut,0,0,Empty,Feu,,,,Empty,Feu,,,,Caninos-RFVF.png,0.5,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0
059,#059,Feu Feu,Arcanin,Feu,Feu,45,23,11,8,10,8,1,Crocs Eclair,Electrik,Physique,6,0,Morsure,Tenebres,Physique,6,6,Empty,Feu,,,,Empty,Feu,,,,Arcanin-RFVF.png,0.5,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0
060,#060,Eau Eau,Ptitard,Eau,Eau,20,22,5,4,4,4,5,Tourniquet,Eau,Statut,0,0,Pistolet a O,Eau,Special,4,6,Empty,Eau,,,,Empty,Eau,,,,Ptitard-RFVF.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
061,#061,Eau Eau,Têtarte,Eau,Eau,32,22,6,6,5,5,2,Tourniquet,Eau,Statut,0,0,Pistolet a O,Eau,Special,4,6,Empty,Eau,,,,Empty,Eau,,,,Têtarte-RFVF.png,0.5,1.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
062,#062,Combat Eau,Tartard,Combat,Eau,45,17,9,9,7,9,0,Sacrifice,Combat,Physique,8,0,Projection,Combat,Physique,6,0,Empty,Combat,,,,Empty,Eau,,,,Tartard-RFVF.png,0.5,1.0,1.0,0.5,2.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
063,#063,Psy Psy,Abra,Psy,Psy,12,22,2,1,10,5,4,Teleport,Psy,Statut,0,0,Choc Psy,Psy,Special,8,6,Empty,Psy,,,,Empty,Psy,,,,Abra-RFVF.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
064,#064,Psy Psy,Kadabra,Psy,Psy,20,26,3,3,12,7,2,Telekinesie,Psy,Statut,0,0,Teleport,Psy,Statut,0,0,Empty,Psy,,,,Empty,Psy,,,,Kadabra-RFVF.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
065,#065,Psy Psy,Alakazam,Psy,Psy,27,30,5,4,13,9,1,Telekinesie,Psy,Statut,0,0,Teleport,Psy,Statut,0,0,Empty,Psy,,,,Empty,Psy,,,,Alakazam-RFVF.png,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0
066,#066,Combat Combat,Machoc,Combat,Combat,35,8,8,5,3,3,3,Balayage,Combat,Physique,0,6,Groz'Yeux,Normal,Statut,0,6,Empty,Combat,,,,Empty,Combat,,,,Machoc-RFVF.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
067,#067,Combat Combat,Machopeur,Combat,Combat,40,11,10,7,5,6,1,Balayage,Combat,Physique,0,6,Groz'Yeux,Normal,Statut,0,6,Empty,Combat,,,,Empty,Combat,,,,Machopeur-RFVF.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
068,#068,Combat Combat,Mackogneur,Combat,Combat,45,13,13,8,6,8,0,Force,Normal,Physique,8,6,Garde Large,Roche,Statut,0,0,Empty,Combat,,,,Empty,Combat,,,,Mackogneur-RFVF.png,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,2.0
069,#069,Plante Poison,Chétiflor,Plante,Poison,25,10,7,3,7,3,5,Fouet Lianes,Plante,Physique,4,6,Croissance,Normal,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Chétiflor-RFVF.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
070,#070,Plante Poison,Boustiflor,Plante,Poison,32,13,9,5,8,4,2,Fouet Lianes,Plante,Physique,4,6,Croissance,Normal,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Boustiflor-RFVF.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
071,#071,Plante Poison,Empiflor,Plante,Poison,40,17,10,6,10,7,0,Phytomixeur,Plante,Special,6,0,Stockage,Normal,Statut,0,0,Empty,Plante,,,,Empty,Poison,,,,Empiflor-RFVF.png,1.0,0.5,1.0,0.5,0.5,0.5,2.0,2.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,1.0,2.0
072,#072,Eau Poison,Tentacool,Eau,Poison,20,17,4,3,5,10,3,Dard-Venin,Poison,Physique,1,6,Ultrason,Normal,Statut,0,0,Empty,Eau,,,,Empty,Poison,,,,Tentacool-RFVF.png,0.5,0.5,1.0,0.5,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
073,#073,Eau Poison,Tentacruel,Eau,Poison,40,25,7,6,8,12,1,Copie Type,Normal,Statut,0,0,Dard-Venin,Poison,Physique,1,6,Empty,Eau,,,,Empty,Poison,,,,Tentacruel-RFVF.png,0.5,0.5,1.0,0.5,2.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
